Borough,Neighbourhood,City,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Queens,Howard Beach,1,40.65422528,-73.83813765,1,Italian Restaurant,Ice Cream Shop,Bagel Shop,Pharmacy,Pizza Place,Park,Fast Food Restaurant,Bank,Chinese Restaurant,Sandwich Place
Queens,Corona,1,40.74238175,-73.85682497,1,Mexican Restaurant,Food Truck,Park,Pizza Place,Donut Shop,Bus Station,Argentinian Restaurant,General Eating,Pharmacy,Latin American Restaurant
Queens,Forest Hills,1,40.72526378,-73.84447501,2,Bakery,Pizza Place,Bagel Shop,Sushi Restaurant,Asian Restaurant,Diner,Peruvian Restaurant,Italian Restaurant,Chinese Restaurant,Park
Queens,Kew Gardens,1,40.70517904,-73.82981906,1,Pizza Place,Coffee Shop,South American Restaurant,Lounge,Indian Restaurant,Italian Restaurant,Gym / Fitness Center,New American Restaurant,Fried Chicken Joint,Boxing Gym
Queens,Richmond Hill,1,40.69794731,-73.83183321,1,Indian Restaurant,Pizza Place,Chinese Restaurant,Bar,Caribbean Restaurant,Park,Lounge,Latin American Restaurant,Clothing Store,Sandwich Place
Queens,Flushing,1,40.7644542,-73.831773,1,Chinese Restaurant,Bubble Tea Shop,Hotpot Restaurant,Korean Restaurant,Bakery,Dumpling Restaurant,Cantonese Restaurant,Pizza Place,Asian Restaurant,Gym
Queens,Long Island City,1,40.75021735,-73.93920224,2,Coffee Shop,Hotel,Café,Mexican Restaurant,Bar,Pizza Place,Italian Restaurant,Brewery,Indian Restaurant,Bubble Tea Shop
Queens,Sunnyside,1,40.74017628,-73.92691618,1,Pizza Place,Donut Shop,Bakery,Bus Stop,Grocery Store,Italian Restaurant,Coffee Shop,Bar,Chinese Restaurant,Diner
Queens,East Elmhurst,1,40.76407324,-73.86704148,2,Café,Airport Service,Pizza Place,Rental Car Location,Hotel,Bakery,Donut Shop,Latin American Restaurant,Gas Station,Hotel Bar
Queens,Maspeth,1,40.72542737,-73.89621714,1,Pizza Place,Bank,Bakery,Donut Shop,Coffee Shop,Discount Store,Diner,Mobile Phone Shop,Park,Grocery Store
Queens,Ridgewood,1,40.70832316,-73.90143518,2,Bar,Pizza Place,Mexican Restaurant,Café,General Eating,Latin American Restaurant,Diner,Bakery,Italian Restaurant,Pharmacy
Queens,Glendale,1,40.70276243,-73.87074167,1,Pizza Place,Discount Store,Furniture / Home Store,Bar,Kids Store,German Restaurant,Sandwich Place,American Restaurant,Cosmetics Shop,Department Store
Queens,Rego Park,1,40.72897409,-73.85782687,1,Pizza Place,Grocery Store,Bakery,Donut Shop,Sushi Restaurant,Liquor Store,Chinese Restaurant,Coffee Shop,Pharmacy,Sandwich Place
Queens,Woodhaven,1,40.68988688,-73.85811047,1,Pizza Place,Supermarket,Deli / Bodega,Chinese Restaurant,Pharmacy,Latin American Restaurant,Hookah Bar,Metro Station,Grocery Store,Bank
Queens,Ozone Park,1,40.68070847,-73.84320266,1,Pizza Place,Deli / Bodega,Fast Food Restaurant,Pharmacy,Bank,Liquor Store,Bus Station,General Eating,Grocery Store,Gym
Queens,South Ozone Park,1,40.66854958,-73.80986479,1,Deli / Bodega,Chinese Restaurant,Hotel,Donut Shop,Ice Cream Shop,Fast Food Restaurant,Caribbean Restaurant,Pizza Place,Boat or Ferry,General Eating
Queens,College Point,1,40.78490275,-73.84304529,1,Pizza Place,Donut Shop,Deli / Bodega,Park,Gym,Pharmacy,Discount Store,Department Store,Bank,Chinese Restaurant
Queens,Whitestone,1,40.78129077,-73.81420217,1,Deli / Bodega,Italian Restaurant,Pizza Place,Donut Shop,Bus Station,Diner,Bank,Pharmacy,Sandwich Place,Japanese Restaurant
Queens,Bayside,1,40.76604063,-73.77427363,2,Pizza Place,Bar,Sushi Restaurant,American Restaurant,Italian Restaurant,Mobile Phone Shop,Sandwich Place,Asian Restaurant,Bakery,Pharmacy
Queens,Auburndale,1,40.76172955,-73.79176244,1,Korean Restaurant,Greek Restaurant,Pizza Place,Café,Bank,Ice Cream Shop,Liquor Store,Cosmetics Shop,Donut Shop,Pharmacy
Queens,Little Neck,1,40.77082619,-73.73889776,1,Italian Restaurant,Chinese Restaurant,Spa,Coffee Shop,Bank,Deli / Bodega,Train Station,Pizza Place,Korean Restaurant,Mobile Phone Shop
Queens,Douglaston,1,40.7668461,-73.74249821,1,Italian Restaurant,Chinese Restaurant,Spa,Deli / Bodega,Pizza Place,Bank,Korean Restaurant,Train Station,Sushi Restaurant,Bakery
Queens,Glen Oaks,1,40.7494408,-73.71548119,1,Indian Restaurant,Pharmacy,American Restaurant,Intersection,Bagel Shop,Thai Restaurant,Gas Station,Museum,Park,Donut Shop
Queens,Bellerose,1,40.72857318,-73.72012815,1,Deli / Bodega,Bus Station,Mobile Phone Shop,Motel,Pizza Place,Italian Restaurant,Grocery Store,Food Truck,Sandwich Place,Intersection
Queens,Kew Gardens Hills,1,40.72257824,-73.82087765,1,Pizza Place,Bank,Sandwich Place,Food Truck,Bus Station,Middle Eastern Restaurant,Pharmacy,Moving Target,Sushi Restaurant,Chinese Restaurant
Queens,Fresh Meadows,1,40.73439447,-73.78271337,1,Chinese Restaurant,Pizza Place,Hotel,Pharmacy,Bank,Playground,American Restaurant,Shopping Mall,Gym,Coffee Shop
Queens,Briarwood,1,40.71093547,-73.81174822,1,Donut Shop,Pizza Place,Fast Food Restaurant,Indian Restaurant,Bank,Sandwich Place,Coffee Shop,Deli / Bodega,Supermarket,Fried Chicken Joint
Queens,Jamaica Center,1,40.70465736,-73.79690166,1,Sandwich Place,Fried Chicken Joint,Mobile Phone Shop,Bank,Caribbean Restaurant,Pharmacy,Clothing Store,Coffee Shop,Donut Shop,Pizza Place
Queens,Oakland Gardens,1,40.74561857,-73.75494976,1,Korean Restaurant,Park,Bank,Sushi Restaurant,Chinese Restaurant,Coffee Shop,Pharmacy,Italian Restaurant,Yoga Studio,Donut Shop
Queens,Queens Village,1,40.71889309,-73.73871485,1,Pizza Place,Pharmacy,Caribbean Restaurant,Bakery,Bank,Sandwich Place,Donut Shop,Martial Arts Dojo,Grocery Store,Theater
Queens,Hollis,1,40.71124344,-73.75925009,1,Pizza Place,Ice Cream Shop,Sandwich Place,Grocery Store,Fried Chicken Joint,Mobile Phone Shop,Donut Shop,Deli / Bodega,Bakery,Liquor Store
Queens,South Jamaica,1,40.69691125,-73.79042613,1,Park,Pizza Place,Bus Stop,Discount Store,Donut Shop,General Eating,Coffee Shop,Auto Garage,Bank,Pool
Queens,St. Albans,1,40.69444539,-73.75867604,1,Caribbean Restaurant,Fast Food Restaurant,Pizza Place,Market,Liquor Store,Café,Discount Store,Video Store,Grocery Store,Donut Shop
Queens,Rochdale,1,40.6752114,-73.77258788,1,Pizza Place,Pharmacy,Fast Food Restaurant,Sandwich Place,Chinese Restaurant,Market,Deli / Bodega,Mexican Restaurant,Bank,Train Station
Queens,Springfield Gardens,1,40.66623049,-73.76042093,1,Deli / Bodega,Sandwich Place,Donut Shop,Park,Gym,Fast Food Restaurant,Caribbean Restaurant,Check Cashing Service,Pizza Place,Shipping Store
Queens,Cambria Heights,1,40.69277464,-73.73526874,1,Caribbean Restaurant,Pharmacy,Donut Shop,Supermarket,Bus Station,Bus Stop,Chinese Restaurant,Deli / Bodega,Playground,Pizza Place
Queens,Rosedale,1,40.65981643,-73.73526079,1,Caribbean Restaurant,Furniture / Home Store,Sandwich Place,Cosmetics Shop,Coffee Shop,Park,Grocery Store,Fried Chicken Joint,Pharmacy,Bank
Queens,Far Rockaway,1,40.60313443,-73.75497968,1,Pizza Place,Fried Chicken Joint,Sandwich Place,Chinese Restaurant,Donut Shop,Bank,Playground,Bus Station,Metro Station,Pharmacy
Queens,Broad Channel,1,40.60302658,-73.82005489,1,Bagel Shop,Sandwich Place,Other Nightlife,Sporting Goods Shop,Beach,Metro Station,Chinese Restaurant,Pizza Place,Playground,Dive Bar
Queens,Breezy Point,1,40.55740129,-73.92551197,1,Surf Spot,American Restaurant,Beach,Trail,Ethiopian Restaurant,Event Service,Event Space,Exhibit,Eye Doctor,Field
Queens,Steinway,1,40.77592302,-73.9022896,2,Italian Restaurant,Bakery,Greek Restaurant,Bagel Shop,Bar,Sushi Restaurant,Deli / Bodega,Pizza Place,Burger Joint,Gym
Queens,Beechhurst,1,40.7927814,-73.80436452,1,Italian Restaurant,Donut Shop,Deli / Bodega,Pizza Place,Gym / Fitness Center,Bakery,Diner,Martial Arts Dojo,Gym,Bus Station
Queens,Bay Terrace,1,40.78284281,-73.77680223,1,Donut Shop,Clothing Store,Italian Restaurant,Pizza Place,American Restaurant,Women's Store,Chinese Restaurant,Supermarket,Cosmetics Shop,Martial Arts Dojo
Queens,Edgemere,1,40.59564181,-73.77613282,1,Pizza Place,Metro Station,Chinese Restaurant,Deli / Bodega,Park,Hotel,Beach,Grocery Store,Skate Park,Donut Shop
Queens,Arverne,1,40.58914394,-73.79199233,1,Surf Spot,Beach,Metro Station,Bus Stop,Donut Shop,Deli / Bodega,Sandwich Place,Supermarket,Pizza Place,Coffee Shop
Queens,Rockaway Beach,1,40.5828017,-73.82236121,1,Beach,Bar,Boat or Ferry,Food Truck,Bagel Shop,Ice Cream Shop,Latin American Restaurant,Pizza Place,Gym / Fitness Center,Arepa Restaurant
Queens,Neponsit,1,40.57203673,-73.85754672,1,Beach,Spa,Deli / Bodega,Italian Restaurant,Pub,Burger Joint,Bus Stop,Boutique,Park,Mexican Restaurant
Queens,Murray Hill,1,40.76412612,-73.81276269,2,Korean Restaurant,Pizza Place,Coffee Shop,Japanese Restaurant,Gym / Fitness Center,Sandwich Place,Bakery,Grocery Store,Café,Bar
Queens,Floral Park,1,40.74137842,-73.70884706,1,Indian Restaurant,Pharmacy,Bank,Ice Cream Shop,Grocery Store,Food Truck,Intersection,Pizza Place,Sandwich Place,Supermarket
Queens,Holliswood,1,40.72095721,-73.76714167,1,Chinese Restaurant,Playground,Bus Station,Intersection,Pizza Place,Fast Food Restaurant,Park,Shopping Mall,Donut Shop,Bank
Queens,Jamaica Estates,1,40.71680483,-73.78722697,1,Fast Food Restaurant,Deli / Bodega,Donut Shop,Pharmacy,Indian Restaurant,Fried Chicken Joint,Sandwich Place,Supermarket,Bus Station,Mobile Phone Shop
Queens,Queensboro Hill,1,40.74457231,-73.82580915,1,Chinese Restaurant,Bakery,Supermarket,Bus Station,Flower Shop,Park,Bank,Historic Site,Pizza Place,Deli / Bodega
Queens,Hillcrest,1,40.7238249,-73.79760301,1,Pizza Place,Bus Station,Ice Cream Shop,Fast Food Restaurant,Coffee Shop,Mobile Phone Shop,Sandwich Place,Italian Restaurant,Bakery,Sushi Restaurant
Queens,Ravenswood,1,40.76170453,-73.93157506,2,Bar,Café,Thai Restaurant,Italian Restaurant,Mexican Restaurant,Greek Restaurant,Bagel Shop,Cocktail Bar,Brazilian Restaurant,Grocery Store
Queens,Lindenwood,1,40.66391842,-73.84963782,1,Ice Cream Shop,Pizza Place,Bank,Pet Store,Food Truck,Italian Restaurant,Chinese Restaurant,Mobile Phone Shop,Liquor Store,Donut Shop
Queens,Laurelton,1,40.6678839,-73.74025608,1,Caribbean Restaurant,Cosmetics Shop,Park,Grocery Store,Donut Shop,Pharmacy,Bus Station,Train Station,Fried Chicken Joint,Shipping Store
Queens,Lefrak City,1,40.73607457,-73.86252471,1,Bakery,Coffee Shop,Donut Shop,Clothing Store,General Eating,Cosmetics Shop,Department Store,Sandwich Place,Supermarket,Argentinian Restaurant
Queens,Belle Harbor,1,40.57615557,-73.8540175,1,Beach,Spa,Italian Restaurant,Donut Shop,Boutique,Event Space,Mexican Restaurant,Pharmacy,Harbor / Marina,Bakery
Queens,Rockaway Park,1,40.58034296,-73.8415337,1,Beach,Pizza Place,Donut Shop,Spa,Pharmacy,Bar,Bank,Deli / Bodega,Bagel Shop,Boutique
Queens,Somerville,1,40.59771062,-73.79664751,1,Harbor / Marina,Sandwich Place,Metro Station,Donut Shop,Board Shop,Caribbean Restaurant,Thai Restaurant,Grocery Store,Gas Station,Beach
Queens,Brookville,1,40.66000323,-73.75175311,1,Park,Fast Food Restaurant,Deli / Bodega,Salon / Barbershop,Bus Stop,Check Cashing Service,Grocery Store,Gym,Gym / Fitness Center,Gas Station
Queens,Bellaire,1,40.73301404,-73.73889199,1,Park,Pizza Place,Chinese Restaurant,Donut Shop,Fast Food Restaurant,Italian Restaurant,Pharmacy,Intersection,Convenience Store,Gym
Queens,North Corona,1,40.754071,-73.85751791,1,Latin American Restaurant,Tennis Stadium,Mexican Restaurant,Boat or Ferry,Bakery,Pizza Place,Deli / Bodega,Harbor / Marina,Supermarket,Liquor Store
Queens,Forest Hills Gardens,1,40.71461108,-73.84102211,2,Bakery,Pizza Place,Yoga Studio,Park,Italian Restaurant,Japanese Restaurant,Cosmetics Shop,Coffee Shop,Seafood Restaurant,Sushi Restaurant
Staten Island,St. George,1,40.64498157,-74.07935313,1,Bus Stop,Clothing Store,Bar,Pizza Place,Italian Restaurant,Deli / Bodega,Train Station,Sandwich Place,Art Gallery,Brewery
Staten Island,New Brighton,1,40.64061456,-74.08701651,1,Pizza Place,Italian Restaurant,Bar,Bus Stop,Mexican Restaurant,Donut Shop,Seafood Restaurant,Sandwich Place,Garden Center,Gastropub
Staten Island,Stapleton,1,40.62692763,-74.07790193,1,Deli / Bodega,Sandwich Place,Fast Food Restaurant,Harbor / Marina,Bank,Discount Store,Café,Mexican Restaurant,Cosmetics Shop,General Eating
Staten Island,Rosebank,1,40.61530495,-74.06980527,1,Bus Stop,Italian Restaurant,Mexican Restaurant,Deli / Bodega,Grocery Store,Bar,Intersection,Pharmacy,General Eating,Discount Store
Staten Island,West Brighton,1,40.63187893,-74.10718178,1,Pizza Place,Bar,Bank,Coffee Shop,Bagel Shop,Sandwich Place,Italian Restaurant,Music Store,Cosmetics Shop,Bus Stop
Staten Island,Grymes Hill,1,40.62418479,-74.0872482,1,Bus Stop,Park,Sandwich Place,Deli / Bodega,Spanish Restaurant,Golf Course,Discount Store,General Eating,Beer Bar,Pizza Place
Staten Island,Todt Hill,1,40.59706852,-74.11132882,1,Park,Dog Run,Campground,Donut Shop,Zoo Exhibit,Falafel Restaurant,Farmers Market,Farm,Factory,Field
Staten Island,South Beach,1,40.58024741,-74.07955293,1,Beach,Pier,Baseball Field,Park,Athletics & Sports,General Eating,Playground,Deli / Bodega,Skate Park,Soccer Field
Staten Island,Port Richmond,1,40.63366931,-74.12943427,1,Pizza Place,General Eating,Bus Stop,Cosmetics Shop,Convenience Store,Discount Store,Chinese Restaurant,Mediterranean Restaurant,Ice Cream Shop,Rental Car Location
Staten Island,Mariner's Harbor,1,40.63254639,-74.15008537,1,Deli / Bodega,Bus Stop,Pizza Place,Ice Cream Shop,Fast Food Restaurant,Italian Restaurant,Cosmetics Shop,Diner,Intersection,Toll Plaza
Staten Island,Port Ivory,1,40.63968298,-74.17464533,1,Bus Stop,Boat or Ferry,Snack Place,Harbor / Marina,Locksmith,Intersection,Construction & Landscaping,Zoo Exhibit,Farm,Falafel Restaurant
Staten Island,Castleton Corners,1,40.61333594,-74.11918059,1,Pizza Place,Bus Stop,Italian Restaurant,Donut Shop,Ice Cream Shop,Pharmacy,Bank,Liquor Store,Chinese Restaurant,Diner
Staten Island,New Springville,1,40.59425238,-74.16496031,1,Coffee Shop,Pharmacy,Donut Shop,Sandwich Place,Mobile Phone Shop,Furniture / Home Store,Shipping Store,Health & Beauty Service,General Eating,Pizza Place
Staten Island,Travis,1,40.58631375,-74.19073718,2,Hotel,Italian Restaurant,Park,Deli / Bodega,Sports Club,Gym / Fitness Center,Gym,Theater,Donut Shop,Home Service
Staten Island,New Dorp,1,40.57257232,-74.11647944,1,Pizza Place,Bus Stop,Mexican Restaurant,Italian Restaurant,Bagel Shop,Sandwich Place,Kids Store,Bank,Coffee Shop,American Restaurant
Staten Island,Oakwood,1,40.55846224,-74.12156594,1,Bagel Shop,Nightlife Spot,Sandwich Place,Burger Joint,Bus Stop,General Eating,Bank,Shipping Store,Playground,Coffee Shop
Staten Island,Great Kills,1,40.54948023,-74.14932381,1,Italian Restaurant,Bagel Shop,Seafood Restaurant,Donut Shop,Bar,Bus Stop,Chinese Restaurant,Pharmacy,Supermarket,Sandwich Place
Staten Island,Eltingville,1,40.54223075,-74.1643308,1,Italian Restaurant,Pizza Place,Sushi Restaurant,Sandwich Place,Bagel Shop,Diner,Bank,Pharmacy,Chinese Restaurant,Fast Food Restaurant
Staten Island,Annadale,1,40.53811417,-74.17854866,1,Trail,Pizza Place,General Eating,Sushi Restaurant,Bus Stop,Train Station,Home Service,Business Service,Diner,Sports Bar
Staten Island,Woodrow,1,40.54196762,-74.20524582,1,Grocery Store,Donut Shop,Sushi Restaurant,Diner,Park,Pharmacy,Miscellaneous Shop,Mexican Restaurant,Basketball Court,Bank
Staten Island,Tottenville,1,40.50533376,-74.24656934,1,Italian Restaurant,Pizza Place,Deli / Bodega,Asian Restaurant,Ice Cream Shop,Home Service,Mexican Restaurant,Park,Pool,Sandwich Place
Staten Island,Tompkinsville,1,40.63731607,-74.08055352,1,Clothing Store,Bus Stop,Italian Restaurant,Pizza Place,Park,Fast Food Restaurant,Sandwich Place,Deli / Bodega,Bar,Pharmacy
Staten Island,Silver Lake,1,40.61919311,-74.09629029,1,American Restaurant,Pizza Place,Bus Stop,Bagel Shop,Sandwich Place,Market,Grocery Store,Performing Arts Venue,Donut Shop,Golf Course
Staten Island,Sunnyside,1,40.61276016,-74.09712552,1,Pizza Place,Donut Shop,Bakery,Bus Stop,Grocery Store,Italian Restaurant,Coffee Shop,Bar,Chinese Restaurant,Diner
Brooklyn,Ditmas Park,1,40.64367518,-73.96101312,2,Caribbean Restaurant,Mexican Restaurant,Pizza Place,Coffee Shop,Bar,Grocery Store,Indian Restaurant,Discount Store,Lounge,Mobile Phone Shop
Brooklyn,Wingate,1,40.66094656,-73.93718681,1,Caribbean Restaurant,Pizza Place,Deli / Bodega,Grocery Store,Fast Food Restaurant,Sandwich Place,Donut Shop,Bakery,Bagel Shop,Fried Chicken Joint
Brooklyn,Rugby,1,40.65557231,-73.92688213,1,Caribbean Restaurant,Pizza Place,Fast Food Restaurant,Pharmacy,Bank,Mobile Phone Shop,Donut Shop,Sandwich Place,Ice Cream Shop,Fish Market
Staten Island,Park Hill,1,40.60919044,-74.08015735,1,Bus Stop,Deli / Bodega,Italian Restaurant,Pharmacy,Automotive Shop,Pizza Place,Train Station,Hardware Store,Gym / Fitness Center,Peruvian Restaurant
Staten Island,Westerleigh,1,40.62109047,-74.13304144,1,Convenience Store,Chinese Restaurant,Bakery,General Eating,Mediterranean Restaurant,Pizza Place,Mobile Phone Shop,Diner,American Restaurant,Bagel Shop
Staten Island,Graniteville,1,40.62017151,-74.15315246,1,Pizza Place,Fast Food Restaurant,Diner,Intersection,Deli / Bodega,Video Store,Baseball Field,Chinese Restaurant,Playground,Grocery Store
Staten Island,Arlington,1,40.6353251,-74.1651042,1,Bus Stop,Discount Store,Deli / Bodega,Fast Food Restaurant,Boat or Ferry,Hardware Store,Bar,Automotive Shop,Donut Shop,Coffee Shop
Staten Island,Arrochar,1,40.59631257,-74.06712363,1,Baseball Field,Deli / Bodega,Italian Restaurant,Beach,Steakhouse,Hotel,Historic Site,Park,Polish Restaurant,Pizza Place
Staten Island,Grasmere,1,40.59826836,-74.07667436,1,Italian Restaurant,Bus Stop,Deli / Bodega,Supermarket,Pizza Place,Cosmetics Shop,Bagel Shop,Bakery,Pharmacy,Gym / Fitness Center
Staten Island,Old Town,1,40.59632891,-74.08751118,1,Italian Restaurant,Bus Stop,Pizza Place,Bank,Pharmacy,Fast Food Restaurant,Deli / Bodega,Gas Station,Bakery,Liquor Store
Staten Island,Dongan Hills,1,40.58867295,-74.09639905,1,Italian Restaurant,Pizza Place,Flower Shop,Ice Cream Shop,Bus Stop,Bank,Sandwich Place,Fast Food Restaurant,Sushi Restaurant,Donut Shop
Staten Island,Midland Beach,1,40.57352691,-74.09348266,1,Bus Stop,Baseball Field,Beach,Diner,Pizza Place,Bagel Shop,Fast Food Restaurant,General Eating,Basketball Court,Miscellaneous Shop
Staten Island,Grant City,1,40.57621559,-74.10585599,1,Pizza Place,Italian Restaurant,Convenience Store,Diner,Dessert Shop,Automotive Shop,Dim Sum Restaurant,Pharmacy,Bus Stop,Coffee Shop
Staten Island,New Dorp Beach,1,40.56425549,-74.10432707,1,Bus Stop,Pharmacy,Kids Store,American Restaurant,General Eating,Baseball Field,Discount Store,Coffee Shop,Pizza Place,Mexican Restaurant
Staten Island,Bay Terrace,1,40.55398801,-74.13916622,1,Donut Shop,Clothing Store,Italian Restaurant,Pizza Place,American Restaurant,Women's Store,Chinese Restaurant,Supermarket,Cosmetics Shop,Martial Arts Dojo
Staten Island,Huguenot,1,40.53191192,-74.19174106,1,Bank,Italian Restaurant,Comfort Food Restaurant,Train Station,Donut Shop,Moving Target,Ice Cream Shop,Sandwich Place,Nail Salon,Park
Staten Island,Pleasant Plains,1,40.52469938,-74.21983107,1,Pizza Place,Bakery,Donut Shop,Shopping Mall,Hardware Store,Dry Cleaner,Train Station,Bank,Bar,Toll Plaza
Staten Island,Butler Manor,1,40.50608165,-74.2295035,1,Pool,Deli / Bodega,Baseball Field,Grocery Store,Convenience Store,Beach,Zoo Exhibit,Farmers Market,Farm,Falafel Restaurant
Staten Island,Charleston,1,40.53053148,-74.23215776,2,Bakery,Cosmetics Shop,Italian Restaurant,Gym / Fitness Center,Women's Store,Big Box Store,Diner,American Restaurant,Scenic Lookout,German Restaurant
Staten Island,Rossville,1,40.54940401,-74.21572851,1,Pizza Place,Golf Course,Deli / Bodega,Ice Cream Shop,General Eating,Paintball Field,Liquor Store,American Restaurant,Donut Shop,Grocery Store
Staten Island,Arden Heights,1,40.54928582,-74.18588675,1,Mexican Restaurant,Bus Stop,Park,Elementary School,Pizza Place,Liquor Store,Shopping Mall,Chinese Restaurant,Bank,Italian Restaurant
Staten Island,Greenridge,1,40.55529524,-74.17079415,1,Gym / Fitness Center,Pizza Place,Sandwich Place,Pharmacy,Italian Restaurant,Ice Cream Shop,Chinese Restaurant,Shipping Store,Donut Shop,Coffee Shop
Staten Island,Heartland Village,1,40.58913895,-74.15902208,1,Clothing Store,Shoe Store,Pharmacy,Cosmetics Shop,Bus Stop,Accessories Store,Sporting Goods Shop,Department Store,Sandwich Place,Coffee Shop
Staten Island,Chelsea,1,40.59472603,-74.18956046,2,Art Gallery,Italian Restaurant,Hotel,Gym / Fitness Center,Coffee Shop,Seafood Restaurant,Theater,Bakery,Deli / Bodega,Baseball Field
Staten Island,Bloomfield,1,40.60577868,-74.18725638,1,Baseball Field,Sporting Goods Shop,Arcade,Boxing Gym,Pizza Place,Theme Park,Gym / Fitness Center,Bagel Shop,Café,Discount Store
Staten Island,Bulls Head,1,40.6095918,-74.15940949,1,Baseball Field,Chinese Restaurant,Park,Pizza Place,Diner,Pharmacy,Deli / Bodega,Bus Stop,Intersection,Smoke Shop
Manhattan,Carnegie Hill,1,40.78268257,-73.95325647,2,Coffee Shop,Yoga Studio,Gym / Fitness Center,Bakery,Gym,Pizza Place,Japanese Restaurant,Wine Shop,Bookstore,Cocktail Bar
Manhattan,Noho,1,40.72325902,-73.98843368,2,Japanese Restaurant,Italian Restaurant,Hotel,Pizza Place,Cocktail Bar,Ice Cream Shop,Garden,Rock Club,Coffee Shop,Asian Restaurant
Manhattan,Civic Center,1,40.71522892,-74.0054153,2,French Restaurant,Coffee Shop,American Restaurant,Spa,Hotel,Men's Store,Bakery,Cocktail Bar,Gym / Fitness Center,Wine Bar
Manhattan,Midtown South,1,40.74850966,-73.98871313,2,Korean Restaurant,Gym / Fitness Center,Hotel,Coffee Shop,Sandwich Place,Yoga Studio,Italian Restaurant,Japanese Restaurant,Lounge,Lingerie Store
Staten Island,Richmond Town,1,40.56960594,-74.1340573,1,Italian Restaurant,Grocery Store,Donut Shop,Pizza Place,Gym,General Eating,Sandwich Place,Diner,Art Museum,Bagel Shop
Staten Island,Shore Acres,1,40.60971934,-74.06667766,1,Bus Stop,Italian Restaurant,Deli / Bodega,Grocery Store,Mexican Restaurant,Pharmacy,Bar,Intersection,Breakfast Spot,Bagel Shop
Staten Island,Clifton,1,40.61917845,-74.07264245,1,Pizza Place,Sandwich Place,Deli / Bodega,Bus Stop,Pharmacy,Mexican Restaurant,Bar,Grocery Store,Cosmetics Shop,Italian Restaurant
Staten Island,Concord,1,40.60447319,-74.08402365,1,Bus Stop,Italian Restaurant,Deli / Bodega,Pizza Place,Bakery,Pharmacy,Coffee Shop,Automotive Shop,Dry Cleaner,Train Station
Staten Island,Emerson Hill,1,40.60679439,-74.09776207,1,Italian Restaurant,Bus Stop,Bagel Shop,Theater,Deli / Bodega,Park,Market,Gym,Playground,American Restaurant
Staten Island,Randall Manor,1,40.63563001,-74.09805062,1,Deli / Bodega,Bar,Park,Fast Food Restaurant,Garden,Bus Stop,Bagel Shop,Playground,Coffee Shop,Ice Cream Shop
Staten Island,Howland Hook,1,40.63843284,-74.18622332,2,Harbor / Marina,Border Crossing,Resort,Peruvian Restaurant,Lounge,Waterfront,Eye Doctor,Farm,Falafel Restaurant,Factory
Staten Island,Elm Park,1,40.63014674,-74.14181679,1,Bus Stop,Pizza Place,Deli / Bodega,Chinese Restaurant,Fast Food Restaurant,Convenience Store,Diner,Sandwich Place,Pet Store,Fried Chicken Joint
Brooklyn,Remsen Village,1,40.65211745,-73.91665332,1,Caribbean Restaurant,Fast Food Restaurant,Donut Shop,Chinese Restaurant,Grocery Store,Bus Station,Fried Chicken Joint,Sandwich Place,Pizza Place,Discount Store
Brooklyn,New Lots,1,40.66274428,-73.88511776,1,Deli / Bodega,Fast Food Restaurant,Pizza Place,Grocery Store,Caribbean Restaurant,Metro Station,Fried Chicken Joint,Bus Stop,Cosmetics Shop,Pharmacy
Brooklyn,Paerdegat Basin,1,40.63131755,-73.90233474,1,Caribbean Restaurant,Harbor / Marina,Bus Line,Grocery Store,Pizza Place,Bank,Park,Event Service,Bakery,Skate Park
Brooklyn,Mill Basin,1,40.61597424,-73.91515392,1,Clothing Store,Pizza Place,Pharmacy,Ice Cream Shop,Shoe Store,Bank,Cosmetics Shop,Mobile Phone Shop,Donut Shop,Gym
Queens,Jamaica Hills,1,40.71145964,-73.79646462,1,Donut Shop,Department Store,Pharmacy,Coffee Shop,Indian Restaurant,Clothing Store,Deli / Bodega,Fast Food Restaurant,Mobile Phone Shop,Fried Chicken Joint
Queens,Utopia,1,40.73350025,-73.79671678,1,Pizza Place,Chinese Restaurant,Japanese Restaurant,Hotel,Bus Station,Asian Restaurant,Bar,Sandwich Place,Coffee Shop,Department Store
Queens,Pomonok,1,40.73493618,-73.8048612,1,Deli / Bodega,Pizza Place,Basketball Court,Bus Station,Food Truck,Pet Store,Donut Shop,Automotive Shop,Sandwich Place,Liquor Store
Queens,Astoria Heights,1,40.77031739,-73.89467996,1,Italian Restaurant,Rental Car Location,Convenience Store,Greek Restaurant,Donut Shop,Deli / Bodega,Park,Café,Hotel,Bus Station
Bronx,Claremont Village,1,40.83142834,-73.90119903,1,Discount Store,Grocery Store,Ice Cream Shop,Pizza Place,Deli / Bodega,Supermarket,Caribbean Restaurant,Fast Food Restaurant,Gym,Park
Bronx,Concourse Village,1,40.82478049,-73.91584653,1,Sandwich Place,Deli / Bodega,Mexican Restaurant,Pharmacy,Donut Shop,Supermarket,Gym,Diner,Fast Food Restaurant,Kids Store
